2023-08-01 10:38:29.909039,22315184,4
2023-08-01 10:38:34.101691,22329582,2
2023-08-01 10:38:34.105053,22330191,3
2023-08-01 10:38:34.431816,22312988,2
2023-08-01 10:38:35.351482,22329691,3
2023-08-01 10:38:37.184733,22311185,2
2023-08-01 10:38:37.252403,20103488,2
2023-08-01 10:38:38.717455,20104790,3
2023-08-01 10:38:39.892513,22331787,4
2023-08-01 10:38:41.308161,20103891,6
2023-08-01 10:38:42.907031,20103183,4
2023-08-01 10:38:44.367645,20108288,1
2023-08-01 10:38:44.617943,22331090,4
2023-08-01 10:38:44.719086,20100987,6
2023-08-01 10:38:45.000463,20100486,1
2023-08-01 10:38:47.242100,22310384,2
2023-08-01 10:38:47.278440,22330387,2
2023-08-01 10:38:47.824262,20104485,6
2023-08-01 10:38:50.201345,22332283,4
2023-08-01 10:38:51.806749,22331384,1
2023-08-01 10:38:52.145686,20100889,6
2023-08-01 10:38:56.117643,22331983,6
2023-08-01 10:38:56.117791,22330986,5
2023-08-01 10:38:59.102160,20107683,3
2023-08-01 10:38:59.965513,20100181,6
2023-08-01 10:39:00.267731,20106882,6
2023-08-01 10:39:00.732477,22314786,6
2023-08-01 10:39:02.012795,22309089,6
2023-08-01 10:39:04.517276,22313789,4
2023-08-01 10:39:06.846694,20104583,1
2023-08-01 10:39:07.894223,20104583,3
2023-08-01 10:39:10.720124,22310286,5
2023-08-01 10:39:13.773674,22315881,2
2023-08-01 10:39:23.298052,22331591,2
2023-08-01 10:39:29.591770,22331188,3
2023-08-01 10:39:30.595661,22315086,1
2023-08-01 10:39:36.197046,22332490,4
2023-08-01 10:39:36.823509,22309187,2
2023-08-01 10:39:37.177505,22330681,2
2023-08-01 10:39:41.743535,2231885,4
2023-08-01 10:39:44.091126,22330790,6
2023-08-01 10:39:46.069481,22329887,4
2023-08-01 10:39:50.963912,20104888,3
2023-08-01 10:39:51.059752,22311588,2
2023-08-01 10:39:51.158339,22331983,1
2023-08-01 10:39:56.840173,22334887,1
2023-08-01 10:40:10.827861,20106882,2
2023-08-01 10:41:01.563097,22331286,2
2023-08-01 10:41:32.748020,22330790,3
2023-08-01 10:44:17.346791,22332185,5
2023-08-01 10:44:19.338214,22309383,4
2023-08-01 11:01:05.434082,22329484,1
2024-07-10 17:12:10.029376,0000000,1
2024-07-10 17:12:35.081301,0000000,4
2024-07-10 17:17:37.149679,0000000,2
2024-07-18 13:11:22.773050,23316382,3
2024-07-18 13:11:23.600332,23315581,3
2024-07-18 13:11:25.649092,23309290,3
2024-07-18 13:11:25.883949,23313391,1
2024-07-18 13:11:26.513412,23314791,2
2024-07-18 13:11:27.030360,23314486,2
2024-07-18 13:11:28.814663,23315287,1
2024-07-18 13:11:29.137532,23309388,3
2024-07-18 13:11:29.377120,23312187,3
2024-07-18 13:11:31.203916,23308881,1
2024-07-18 13:11:33.695364,21102485,3
2024-07-18 13:11:36.547357,23315788,3
2024-07-18 13:11:40.260840,21102387,2
2024-07-18 13:11:42.640355,23315385,3
2024-07-18 13:11:47.664771,22315489,2
2024-07-18 13:11:47.933438,23312285,2
2024-07-18 13:11:48.102905,23314083,1
2024-07-18 13:11:49.313600,23317183,3
2024-07-18 13:11:53.054916,23311691,2
2024-07-18 13:11:53.446338,23311190,1
2024-07-18 13:11:55.227201,21106190,3
2024-07-18 13:11:55.615853,23314290,2
2024-07-18 13:12:00.745727,23316785,3
2024-07-18 13:12:06.172031,21105487,2
2024-07-18 13:12:08.241657,21103591,2
2024-07-18 13:12:08.581321,23313086,1
2024-07-18 13:12:13.806491,23312383,1
2024-07-18 13:12:18.229562,23314889,2
2024-07-18 13:12:18.865546,21104185,1
2024-07-18 13:12:20.356736,23313783,2
2024-07-18 13:12:24.767960,23311985,2
2024-07-18 13:12:38.306081,23311582,1
2024-07-18 13:12:47.143724,23310084,3
2024-07-18 13:13:23.715821,23315483,1
2024-07-18 14:13:08.841505,23314486,2
2024-07-28 20:20:50.980154,23312089,1
